Device ID: 1
ESP32 ID: 192.168.1.8
Time, Temperature, Steps
Activity Started
21:26:09, 0.000000, 0
Activity Ended
Activity Ended
21:28:39, 26.172813, 12
21:28:51, 26.366493, 24
